label,value,slug,optionType
Jamia Hamdard,jamia hamdard,jamia-hamdard,institute
Indian Institute of Technology Ropar,indian institute of technology ropar,indian-institute-of-technology-ropar,institute
Saurashtra University,saurashtra university,saurashtra-university,institute
Dhirubhai Ambani Institute of Information and Communication Technology,dhirubhai ambani institute of information and communication technology,dhirubhai-ambani-institute-of-information-and-communication-technology,institute
Indian Agricultural Research Institute,indian agricultural research institute,indian-agricultural-research-institute,institute
Invertis University,invertis university,invertis-university,institute
Sanjay Gandhi Post Graduate Institute of Medical Sciences,sanjay gandhi post graduate institute of medical sciences,sanjay-gandhi-post-graduate-institute-of-medical-sciences,institute
Bangalore University,bangalore university,bangalore-university,institute
Dibrugarh University,dibrugarh university,dibrugarh-university,institute
National Institute of Technology, Silchar,national institute of technology, silchar,national-institute-of-technology-silchar,institute
Veer Narmad South Gujarat University,veer narmad south gujarat university,veer-narmad-south-gujarat-university,institute
Goa University,goa university,goa-university,institute
Indian Institute of Science Education and Research, Kolkata,indian institute of science education and research, kolkata,indian-institute-of-science-education-and-research-kolkata,institute
O.P. Jindal Global University,o.p. jindal global university,op-jindal-global-university,institute
Sardar Patel University,sardar patel university,sardar-patel-university,institute
Maulana Azad National Institute of Technology,maulana azad national institute of technology,maulana-azad-national-institute-of-technology,institute
Bennett University,bennett university,bennett-university,institute
Dayalbagh Educational Institute,dayalbagh educational institute,dayalbagh-educational-institute,institute
Sardar Vallabhbhai National Institute of Technology, Surat,sardar vallabhbhai national institute of technology, surat,sardar-vallabhbhai-national-institute-of-technology-surat,institute
National Law University, Delhi,national law university, delhi,national-law-university-delhi,institute
Indian Institute of Technology Indore,indian institute of technology indore,indian-institute-of-technology-indore,institute
Presidency University,presidency university,presidency-university,institute
Punjab Agricultural University,punjab agricultural university,punjab-agricultural-university,institute
Baba Farid University of Health Sciences,baba farid university of health sciences,baba-farid-university-of-health-sciences,institute
National Institute of Technology, Kurukshetra,national institute of technology, kurukshetra,national-institute-of-technology-kurukshetra,institute
Karunya Institute of Technology and Sciences,karunya institute of technology and sciences,karunya-institute-of-technology-and-sciences,institute
Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,sathyabama-institute-of-science-and-technology,institute
National Institute of Technology, Warangal,national institute of technology, warangal,national-institute-of-technology-warangal,institute
Sree Chitra Thirunal Institute of Medical Sciences and Technology,sree chitra thirunal institute of medical sciences and technology,sree-chitra-thirunal-institute-of-medical-sciences-and-technology,institute
Visvesvaraya National Institute of Technology,visvesvaraya national institute of technology,visvesvaraya-national-institute-of-technology,institute
Ambedkar University Delhi,ambedkar university delhi,ambedkar-university-delhi,institute
DIT University,dit university,dit-university,institute
Bharathiar University,bharathiar university,bharathiar-university,institute
Jiwaji University,jiwaji university,jiwaji-university,institute
Padmashree Dr. D.Y. Patil Vidyapith,padmashree dr. d.y. patil vidyapith,padmashree-dr-dy-patil-vidyapith,institute
ITM University Raipur,itm university raipur,itm-university-raipur,institute
North Maharashtra University,north maharashtra university,north-maharashtra-university,institute
Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,sri-ramachandra-institute-of-higher-education-and-research,institute
All India Institute of Medical Sciences Raipur,all india institute of medical sciences raipur,all-india-institute-of-medical-sciences-raipur,institute
