label,value,slug ,optionType
"Adept Institute of Management Studies and Research, Dharwad","adept institute of management studies and research, dharwad","adept-institute-of-management-studies-and-research,-dharwad",institute
"Adesh Institute of Engineering and Technology, Faridkot","adesh institute of engineering and technology, faridkot","adesh-institute-of-engineering-and-technology,-faridkot",institute
"Adesh Institute of Technology, Gharuan","adesh institute of technology, gharuan","adesh-institute-of-technology,-gharuan",institute
"Adesh Polytechnic College, Sri Muktsar Sahib","adesh polytechnic college, sri muktsar sahib","adesh-polytechnic-college,-sri-muktsar-sahib",institute
"Adesh University, Bathinda","adesh university, bathinda","adesh-university,-bathinda",institute
"Adhalrao Patil Institute of Management and Research, Ambegaon","adhalrao patil institute of management and research, ambegaon","adhalrao-patil-institute-of-management-and-research,-ambegaon",institute
"Adhi College of Engineering and Technology, Kancheepuram","adhi college of engineering and technology, kancheepuram","adhi-college-of-engineering-and-technology,-kancheepuram",institute
"Adhiparasakthi College of Arts and Science, Vellore","adhiparasakthi college of arts and science, vellore","adhiparasakthi-college-of-arts-and-science,-vellore",institute
"Adhiparasakthi College of Engineering, Vellore","adhiparasakthi college of engineering, vellore","adhiparasakthi-college-of-engineering,-vellore",institute
"Adhiparasakthi Engineering College, Kancheepuram","adhiparasakthi engineering college, kancheepuram","adhiparasakthi-engineering-college,-kancheepuram",institute
"Adhiparasakthi Polytechnic College, Melmaruvathur","adhiparasakthi polytechnic college, melmaruvathur","adhiparasakthi-polytechnic-college,-melmaruvathur",institute
"Adhiparasakthi Polytechnic College, Pappireddipatti","adhiparasakthi polytechnic college, pappireddipatti","adhiparasakthi-polytechnic-college,-pappireddipatti",institute
"Adhiyamaan College of Engineering, Hosur","adhiyamaan college of engineering, hosur","adhiyamaan-college-of-engineering,-hosur",institute
"Adhunik College of Engineering, Ghaziabad","adhunik college of engineering, ghaziabad","adhunik-college-of-engineering,-ghaziabad",institute
"Adhunik Institute of Productivity Management and Research, Ghaziabad","adhunik institute of productivity management and research, ghaziabad","adhunik-institute-of-productivity-management-and-research,-ghaziabad",institute
"Adi Shankara Institute of Engineering and Technology, Kalady","adi shankara institute of engineering and technology, kalady","adi-shankara-institute-of-engineering-and-technology,-kalady",institute
"Adichunchanagiri Institute of Technology, Chikmagalur","adichunchanagiri institute of technology, chikmagalur","adichunchanagiri-institute-of-technology,-chikmagalur",institute
"Adichunchanagiri Polytechnic College, Chickmagaluru","adichunchanagiri polytechnic college, chickmagaluru","adichunchanagiri-polytechnic-college,-chickmagaluru",institute
"Adichunchanagiri University, Mandya","adichunchanagiri university, mandya","adichunchanagiri-university,-mandya",institute
"Adikavi Nannaya University, Rajahmundry","adikavi nannaya university, rajahmundry","adikavi-nannaya-university,-rajahmundry",institute
"ADINA Institute of Science and Technology, Sagar","adina institute of science and technology, sagar","adina-institute-of-science-and-technology,-sagar",institute
"Adithya Institute of Technology, Coimbatore","adithya institute of technology, coimbatore","adithya-institute-of-technology,-coimbatore",institute
"Aditya Academy of Architecture and Design, Bangalore","aditya academy of architecture and design, bangalore","aditya-academy-of-architecture-and-design,-bangalore",institute
"Aditya College of Architecture, Mumbai","aditya college of architecture, mumbai","aditya-college-of-architecture,-mumbai",institute
"Aditya College of Engineering and Advanced Studies, Ahmedabad","aditya college of engineering and advanced studies, ahmedabad","aditya-college-of-engineering-and-advanced-studies,-ahmedabad",institute
"Aditya College of Engineering and Technology, Surampalem","aditya college of engineering and technology, surampalem","aditya-college-of-engineering-and-technology,-surampalem",institute
"Aditya College of Engineering, Chittoor","aditya college of engineering, chittoor","aditya-college-of-engineering,-chittoor",institute
"Aditya College of Engineering, Surampalem","aditya college of engineering, surampalem","aditya-college-of-engineering,-surampalem",institute
"Aditya College of MBA, Beed","aditya college of mba, beed","aditya-college-of-mba,-beed",institute
"Aditya College of Technology and Science, Satna","aditya college of technology and science, satna","aditya-college-of-technology-and-science,-satna",institute
"Aditya Engineering College, Beed","aditya engineering college, beed","aditya-engineering-college,-beed",institute
"Aditya Engineering College, Surampalem","aditya engineering college, surampalem","aditya-engineering-college,-surampalem",institute
"Aditya Global Business School, Surampalem","aditya global business school, surampalem","aditya-global-business-school,-surampalem",institute
"Aditya Institute of Management Studies and Research, Bangalore","aditya institute of management studies and research, bangalore","aditya-institute-of-management-studies-and-research,-bangalore",institute
"Aditya Institute of Management Studies and Research, Mumbai","aditya institute of management studies and research, mumbai","aditya-institute-of-management-studies-and-research,-mumbai",institute
"Aditya Institute of Management, Pune","aditya institute of management, pune","aditya-institute-of-management,-pune",institute
