label,value,slug ,optionType
HR Trainee,hr trainee,hr-trainee,job_title
HTML Developer,html developer,html-developer,job_title
HVAC Design Engineer,hvac design engineer,hvac-design-engineer,job_title
HVAC Engineer,hvac engineer,hvac-engineer,job_title
HVAC Technician,hvac technician,hvac-technician,job_title
Image Consultant,image consultant,image-consultant,job_title
Implementation Manager,implementation manager,implementation-manager,job_title
Inclusion Specialist,inclusion specialist,inclusion-specialist,job_title
Industrial Engineer,industrial engineer,industrial-engineer,job_title
Informatica Developer,informatica developer,informatica-developer,job_title
Information Architect,information architect,information-architect,job_title
Information Security Analyst,information security analyst,information-security-analyst,job_title
Inhouse Counsel,inhouse counsel,inhouse-counsel,job_title
Instructor,instructor,instructor,job_title
Instrument Supervisor,instrument supervisor,instrument-supervisor,job_title
Instrument Technician,instrument technician,instrument-technician,job_title
Instrumentation Engineer,instrumentation engineer,instrumentation-engineer,job_title
Insurance Agent,insurance agent,insurance-agent,job_title
Insurance Surveyor,insurance surveyor,insurance-surveyor,job_title
Interaction Designer,interaction designer,interaction-designer,job_title
Interior Designer,interior designer,interior-designer,job_title
Investment Banker,investment banker,investment-banker,job_title
Investment Banking Analyst,investment banking analyst,investment-banking-analyst,job_title
iOS Developer,ios developer,ios-developer,job_title
Istio Engineer,istio engineer,istio-engineer,job_title
IT manager,it manager,it-manager,job_title
IT Professional,it professional,it-professional,job_title
IT Specialist,it specialist,it-specialist,job_title
IT Technician,it technician,it-technician,job_title
JaCoCo Engineer,jacoco engineer,jacoco-engineer,job_title
Java Developer,java developer,java-developer,job_title
Java Developer ,java developer ,java-developer-,job_title
Java Software Engineer,java software engineer,java-software-engineer,job_title
Javascript Developer,javascript developer,javascript-developer,job_title
Jenkins Engineer,jenkins engineer,jenkins-engineer,job_title
Jewelry Designer,jewelry designer,jewelry-designer,job_title
Jira Administrator,jira administrator,jira-administrator,job_title
JIRA Engineer,jira engineer,jira-engineer,job_title
Journalist,journalist,journalist,job_title
Junior Accountant,junior accountant,junior-accountant,job_title
Junior Artist,junior artist,junior-artist,job_title
Junior Assistant,junior assistant,junior-assistant,job_title
Junior Developer,junior developer,junior-developer,job_title
Junior Engineer,junior engineer,junior-engineer,job_title
Junior Financial Analyst,junior financial analyst,junior-financial-analyst,job_title
Junior Front End Developer,junior front end developer,junior-front-end-developer,job_title
Junior iOS Developer,junior ios developer,junior-ios-developer,job_title
Junior Product Manager,junior product manager,junior-product-manager,job_title
Junior Research Fellow,junior research fellow,junior-research-fellow,job_title
Junior Software Developer,junior software developer,junior-software-developer,job_title
Junior Software Engineer,junior software engineer,junior-software-engineer,job_title
Junior Web Developer,junior web developer,junior-web-developer,job_title
JUnit Engineer,junit engineer,junit-engineer,job_title
Kotlin Langulage Specialist,kotlin langulage specialist,kotlin-langulage-specialist,job_title
kubernetes Administrator,kubernetes administrator,kubernetes-administrator,job_title
Kubernetes Engineer,kubernetes engineer,kubernetes-engineer,job_title
Kubernetes Operations Engineer,kubernetes operations engineer,kubernetes-operations-engineer,job_title
Lab Assistant,lab assistant,lab-assistant,job_title
Lab Technician,lab technician,lab-technician,job_title
Landscaping Assistant,landscaping assistant,landscaping-assistant,job_title
Laravel Developer,laravel developer,laravel-developer,job_title
Law Officer,law officer,law-officer,job_title
Leadership Coach,leadership coach,leadership-coach,job_title
Legal Advisor,legal advisor,legal-advisor,job_title
Legal Assistant,legal assistant,legal-assistant,job_title
Legal Conflict Management,legal conflict management,legal-conflict-management,job_title
Legal Consultant,legal consultant,legal-consultant,job_title
Legal Officer,legal officer,legal-officer,job_title
Legal Secretary,legal secretary,legal-secretary,job_title
Library Assistant,library assistant,library-assistant,job_title
Linux Administrator,linux administrator,linux-administrator,job_title
Linux System Administrator,linux system administrator,linux-system-administrator,job_title
Live Chat Agent,live chat agent,live-chat-agent,job_title
Logistics Coordinator,logistics coordinator,logistics-coordinator,job_title
Logistics Executive,logistics executive,logistics-executive,job_title
Logistics Manager,logistics manager,logistics-manager,job_title
Machine learning Architect,machine learning architect,machine-learning-architect,job_title
Machine Learning Engineer,machine learning engineer,machine-learning-engineer,job_title
Machine Operator,machine operator,machine-operator,job_title
Mainframe Developer,mainframe developer,mainframe-developer,job_title
Maintenance Director,maintenance director,maintenance-director,job_title
Maintenance Engineer,maintenance engineer,maintenance-engineer,job_title
