label,value,slug,optionType
AGC Networks,agc networks,agc-networks,company
Agfa India Private Limited,agfa india private limited,agfa-india-private-limited,company
Aggreko Energy rental India Private Limited,aggreko energy rental india private limited,aggreko-energy-rental-india-private-limited,company
Agile CRM,agile crm,agile-crm,company
Agilent Technologies,agilent technologies,agilent-technologies,company
Agilisium Consulting,agilisium consulting,agilisium-consulting,company
Agio Pharmaceuticals Limited,agio pharmaceuticals limited,agio-pharmaceuticals-limited,company
AGNC Investment,agnc investment,agnc-investment,company
AGNITY Communications Private Limited,agnity communications private limited,agnity-communications-private-limited,company
AGR Knowledge Services Private Limited,agr knowledge services private limited,agr-knowledge-services-private-limited,company
Agrani Human Resources Private Limited,agrani human resources private limited,agrani-human-resources-private-limited,company
Agreeya Soulutions,agreeya soulutions,agreeya-soulutions,company
Agri Bazaar,agri bazaar,agri-bazaar,company
AGS Transact Technologies Limited,ags transact technologies limited,ags-transact-technologies-limited,company
Ahimsa Veterinary Clinic,ahimsa veterinary clinic,ahimsa-veterinary-clinic,company
Ahluwalia Contracts India Limited,ahluwalia contracts india limited,ahluwalia-contracts-india-limited,company
Ahmedabad Janmarg Limited,ahmedabad janmarg limited,ahmedabad-janmarg-limited,company
Ahuja Radios,ahuja radios,ahuja-radios,company
AIA Engineering Limited,aia engineering limited,aia-engineering-limited,company
AIG Analytics & Services Private Limited,aig analytics & services private limited,aig-analytics-&-services-private-limited,company
Aiocd Pharmasofttech Awacs,aiocd pharmasofttech awacs,aiocd-pharmasofttech-awacs,company
Air Control Chemical Engineering,air control chemical engineering,air-control-chemical-engineering,company
Air India Air Transport Services Limited,air india air transport services limited,air-india-air-transport-services-limited,company
Air India SATS Airport Services Private Limited,air india sats airport services private limited,air-india-sats-airport-services-private-limited,company
Air Odisha Aviation Private Limited,air odisha aviation private limited,air-odisha-aviation-private-limited,company
Air Products & Chemicals,air products & chemicals,air-products-&-chemicals,company
Air Works India Engineering Private Limited,air works india engineering private limited,air-works-india-engineering-private-limited,company
Airasia India Private Limited,airasia india private limited,airasia-india-private-limited,company
Airborne Group,airborne group,airborne-group,company
Airbus Group India Private Limited,airbus group india private limited,airbus-group-india-private-limited,company
Aircare Technologies India Private Limited,aircare technologies india private limited,aircare-technologies-india-private-limited,company
Aircheck India Private Limited,aircheck india private limited,aircheck-india-private-limited,company
Aircon Automation India Private Limited,aircon automation india private limited,aircon-automation-india-private-limited,company
Airflow Equipments India Private Limited,airflow equipments india private limited,airflow-equipments-india-private-limited,company
Airport Authority of India,airport authority of india,airport-authority-of-india,company
Airtech Cooling Process Private limited,airtech cooling process private limited,airtech-cooling-process-private-limited,company
Airwil Infra Limited,airwil infra limited,airwil-infra-limited,company
AIS Technolabs Private Limited,ais technolabs private limited,ais-technolabs-private-limited,company
Aisin Takaoka India Auto Parts Private Limited,aisin takaoka india auto parts private limited,aisin-takaoka-india-auto-parts-private-limited,company
Aiwo Limited Healthcare,aiwo limited healthcare,aiwo-limited-healthcare,company
Aizant Drug Research Solutions Private Limited,aizant drug research solutions private limited,aizant-drug-research-solutions-private-limited,company
Ajanta Pharma Limited,ajanta pharma limited,ajanta-pharma-limited,company
Ajax Media Tech Private Limited,ajax media tech private limited,ajax-media-tech-private-limited,company
AK Steel Holding,ak steel holding,ak-steel-holding,company
AKAL Information Systems Limited,akal information systems limited,akal-information-systems-limited,company
Akamai Technologies,akamai technologies,akamai-technologies,company
Akbarallys Stores Private Limited,akbarallys stores private limited,akbarallys-stores-private-limited,company
Aker Powergas Subsea Private limited,aker powergas subsea private limited,aker-powergas-subsea-private-limited,company
Aker Solutions,aker solutions,aker-solutions,company
Akorn India Private Limited,akorn india private limited,akorn-india-private-limited,company
Aksh Optifibre Limited,aksh optifibre limited,aksh-optifibre-limited,company
Aktivita HR Solution Private Limited,aktivita hr solution private limited,aktivita-hr-solution-private-limited,company
Akums Drugs and Pharmaceuticals Limited,akums drugs and pharmaceuticals limited,akums-drugs-and-pharmaceuticals-limited,company
Akzo Nobel India Limited,akzo nobel india limited,akzo-nobel-india-limited,company
Al Ghurair Construction Aluminium India Private Limited,al ghurair construction aluminium india private limited,al-ghurair-construction-aluminium-india-private-limited,company
AL Kanz Jewels LLC Dubai,al kanz jewels llc dubai,al-kanz-jewels-llc-dubai,company
Al Mehtab Industries Private Limited,al mehtab industries private limited,al-mehtab-industries-private-limited,company
Alankit Assignments Limited,alankit assignments limited,alankit-assignments-limited,company
Alaska Air Group,alaska air group,alaska-air-group,company
Alayna Industries,alayna industries,alayna-industries,company
Alchem International,alchem international,alchem-international,company
Alcoa Corporation,alcoa corporation,alcoa-corporation,company
Alcobrew Distilleries India Private Limited,alcobrew distilleries india private limited,alcobrew-distilleries-india-private-limited,company
Alcon laboratories,alcon laboratories,alcon-laboratories,company
Alembic Pharmaceuticals Limited,alembic pharmaceuticals limited,alembic-pharmaceuticals-limited,company
Alenam Technologies Private Limited,alenam technologies private limited,alenam-technologies-private-limited,company
Alepo Technologies,alepo technologies,alepo-technologies,company
Alexion Pharmaceuticals,alexion pharmaceuticals,alexion-pharmaceuticals,company
